ECGEpoch,ECGTimestamp,ECGValue
1755694595.262834,20 Aug 2025 at 14:56:35,-49
1755694595.262834,20 Aug 2025 at 14:56:35,-45
1755694595.262834,20 Aug 2025 at 14:56:35,-40
1755694595.262834,20 Aug 2025 at 14:56:35,-38
1755694595.262834,20 Aug 2025 at 14:56:35,-36
1755694595.262834,20 Aug 2025 at 14:56:35,-34
1755694595.262834,20 Aug 2025 at 14:56:35,-36
1755694595.262834,20 Aug 2025 at 14:56:35,-45
1755694595.262834,20 Aug 2025 at 14:56:35,-49
1755694595.262834,20 Aug 2025 at 14:56:35,-47
1755694595.262834,20 Aug 2025 at 14:56:35,-47
1755694595.262834,20 Aug 2025 at 14:56:35,-61
1755694595.262834,20 Aug 2025 at 14:56:35,-68
1755694595.262834,20 Aug 2025 at 14:56:35,-56
1755694595.262834,20 Aug 2025 at 14:56:35,-31
1755694595.262834,20 Aug 2025 at 14:56:35,-13
1755694595.262834,20 Aug 2025 at 14:56:35,-15
1755694595.262834,20 Aug 2025 at 14:56:35,-27
1755694595.262834,20 Aug 2025 at 14:56:35,-34
1755694595.262834,20 Aug 2025 at 14:56:35,-36
1755694595.262834,20 Aug 2025 at 14:56:35,-22
1755694595.262834,20 Aug 2025 at 14:56:35,-9
1755694595.262834,20 Aug 2025 at 14:56:35,-18
1755694595.262834,20 Aug 2025 at 14:56:35,-34
1755694595.262834,20 Aug 2025 at 14:56:35,-31
1755694595.801433,20 Aug 2025 at 14:56:35,-29
1755694595.801433,20 Aug 2025 at 14:56:35,-40
1755694595.801433,20 Aug 2025 at 14:56:35,-45
1755694595.801433,20 Aug 2025 at 14:56:35,-43
1755694595.801433,20 Aug 2025 at 14:56:35,-49
1755694595.801433,20 Aug 2025 at 14:56:35,-63
1755694595.801433,20 Aug 2025 at 14:56:35,-72
1755694595.801433,20 Aug 2025 at 14:56:35,-74
1755694595.801433,20 Aug 2025 at 14:56:35,-63
1755694595.801433,20 Aug 2025 at 14:56:35,-49
1755694595.801433,20 Aug 2025 at 14:56:35,-40
1755694595.801433,20 Aug 2025 at 14:56:35,-6
1755694595.801433,20 Aug 2025 at 14:56:35,34
1755694595.801433,20 Aug 2025 at 14:56:35,38
1755694595.801433,20 Aug 2025 at 14:56:35,15
1755694595.801433,20 Aug 2025 at 14:56:35,-6
1755694595.801433,20 Aug 2025 at 14:56:35,-22
1755694595.801433,20 Aug 2025 at 14:56:35,-31
1755694595.801433,20 Aug 2025 at 14:56:35,-34
1755694595.801433,20 Aug 2025 at 14:56:35,-29
1755694595.801433,20 Aug 2025 at 14:56:35,-29
1755694595.801433,20 Aug 2025 at 14:56:35,-36
1755694595.801433,20 Aug 2025 at 14:56:35,-45
1755694595.801433,20 Aug 2025 at 14:56:35,-49
1755694595.801433,20 Aug 2025 at 14:56:35,31
1755694595.801433,20 Aug 2025 at 14:56:35,345
1755694595.801433,20 Aug 2025 at 14:56:35,821
1755694595.801433,20 Aug 2025 at 14:56:35,1069
1755694595.801433,20 Aug 2025 at 14:56:35,744
1755694595.801433,20 Aug 2025 at 14:56:35,-124
1755694595.801433,20 Aug 2025 at 14:56:35,-860
1755694595.801433,20 Aug 2025 at 14:56:35,-717
1755694595.801433,20 Aug 2025 at 14:56:35,-222
1755694595.801433,20 Aug 2025 at 14:56:35,-143
1755694595.801433,20 Aug 2025 at 14:56:35,-158
1755694595.801433,20 Aug 2025 at 14:56:35,-49
1755694595.801433,20 Aug 2025 at 14:56:35,-54
1755694595.801433,20 Aug 2025 at 14:56:35,-93
1755694595.801433,20 Aug 2025 at 14:56:35,-49
1755694595.801433,20 Aug 2025 at 14:56:35,-29
1755694595.801433,20 Aug 2025 at 14:56:35,-47
1755694595.801433,20 Aug 2025 at 14:56:35,-40
1755694595.801433,20 Aug 2025 at 14:56:35,-24
1755694595.801433,20 Aug 2025 at 14:56:35,-15
1755694595.801433,20 Aug 2025 at 14:56:35,-2
1755694595.801433,20 Aug 2025 at 14:56:35,20
1755694595.801433,20 Aug 2025 at 14:56:35,43
1755694595.801433,20 Aug 2025 at 14:56:35,70
1755694595.801433,20 Aug 2025 at 14:56:35,88
1755694595.801433,20 Aug 2025 at 14:56:35,111
1755694595.801433,20 Aug 2025 at 14:56:35,147
1755694595.801433,20 Aug 2025 at 14:56:35,174
1755694595.801433,20 Aug 2025 at 14:56:35,186
1755694595.801433,20 Aug 2025 at 14:56:35,199
1755694595.801433,20 Aug 2025 at 14:56:35,227
1755694595.801433,20 Aug 2025 at 14:56:35,263
1755694595.801433,20 Aug 2025 at 14:56:35,279
1755694595.801433,20 Aug 2025 at 14:56:35,263
1755694595.801433,20 Aug 2025 at 14:56:35,245
1755694595.801433,20 Aug 2025 at 14:56:35,242
1755694595.801433,20 Aug 2025 at 14:56:35,220
1755694595.801433,20 Aug 2025 at 14:56:35,181
1755694595.801433,20 Aug 2025 at 14:56:35,149
1755694595.801433,20 Aug 2025 at 14:56:35,104
1755694595.801433,20 Aug 2025 at 14:56:35,43
1755694595.801433,20 Aug 2025 at 14:56:35,-6
1755694595.801433,20 Aug 2025 at 14:56:35,-43
1755694595.801433,20 Aug 2025 at 14:56:35,-74
1755694595.801433,20 Aug 2025 at 14:56:35,-86
1755694595.801433,20 Aug 2025 at 14:56:35,-79
1755694595.801433,20 Aug 2025 at 14:56:35,-72
1755694595.801433,20 Aug 2025 at 14:56:35,-65
1755694595.801433,20 Aug 2025 at 14:56:35,-52
1755694596.371436,20 Aug 2025 at 14:56:36,-38
1755694596.371436,20 Aug 2025 at 14:56:36,-27
1755694596.371436,20 Aug 2025 at 14:56:36,-22
1755694596.371436,20 Aug 2025 at 14:56:36,-27
1755694596.371436,20 Aug 2025 at 14:56:36,-27
1755694596.371436,20 Aug 2025 at 14:56:36,-27
1755694596.371436,20 Aug 2025 at 14:56:36,-36
1755694596.371436,20 Aug 2025 at 14:56:36,-29
1755694596.371436,20 Aug 2025 at 14:56:36,-4
1755694596.371436,20 Aug 2025 at 14:56:36,4
1755694596.371436,20 Aug 2025 at 14:56:36,-11
1755694596.371436,20 Aug 2025 at 14:56:36,-20
1755694596.371436,20 Aug 2025 at 14:56:36,-20
1755694596.371436,20 Aug 2025 at 14:56:36,-20
1755694596.371436,20 Aug 2025 at 14:56:36,-27
1755694596.371436,20 Aug 2025 at 14:56:36,-38
1755694596.371436,20 Aug 2025 at 14:56:36,-43
1755694596.371436,20 Aug 2025 at 14:56:36,-38
1755694596.371436,20 Aug 2025 at 14:56:36,-29
1755694596.371436,20 Aug 2025 at 14:56:36,-22
1755694596.371436,20 Aug 2025 at 14:56:36,-22
1755694596.371436,20 Aug 2025 at 14:56:36,-31
1755694596.371436,20 Aug 2025 at 14:56:36,-40
1755694596.371436,20 Aug 2025 at 14:56:36,-47
1755694596.371436,20 Aug 2025 at 14:56:36,-52
1755694596.371436,20 Aug 2025 at 14:56:36,-54
1755694596.371436,20 Aug 2025 at 14:56:36,-54
1755694596.371436,20 Aug 2025 at 14:56:36,-54
1755694596.371436,20 Aug 2025 at 14:56:36,-59
1755694596.371436,20 Aug 2025 at 14:56:36,-70
1755694596.371436,20 Aug 2025 at 14:56:36,-79
1755694596.371436,20 Aug 2025 at 14:56:36,-81
1755694596.371436,20 Aug 2025 at 14:56:36,-86
1755694596.371436,20 Aug 2025 at 14:56:36,-90
1755694596.371436,20 Aug 2025 at 14:56:36,-84
1755694596.371436,20 Aug 2025 at 14:56:36,-77
1755694596.371436,20 Aug 2025 at 14:56:36,-68
1755694596.371436,20 Aug 2025 at 14:56:36,-47
1755694596.371436,20 Aug 2025 at 14:56:36,-34
1755694596.371436,20 Aug 2025 at 14:56:36,-47
1755694596.371436,20 Aug 2025 at 14:56:36,-72
1755694596.371436,20 Aug 2025 at 14:56:36,-93
1755694596.371436,20 Aug 2025 at 14:56:36,-102
